排名,球员,球队,场次,前场,后场,总篮板,球员链接,球队链接,赛季
39,小贾巴里-史密斯,火箭,6.6,1.4,5.1,21.0,https://nba.hupu.com/players/jabarismith-152844.html,https://nba.hupu.com/teams/rockets,2024-25
40,凯尔登-约翰逊,马刺,6.5,2.0,4.5,24.0,https://nba.hupu.com/players/keldonjohnson-151710.html,https://nba.hupu.com/teams/spurs,2024-25
40,桑迪-阿尔达马,灰熊,6.5,1.4,5.1,25.0,https://nba.hupu.com/players/santialdama-152659.html,https://nba.hupu.com/teams/grizzlies,2024-25
42,塞德里克-考沃德,灰熊,6.4,1.4,5.0,25.0,https://nba.hupu.com/players/cedriccoward-153302.html,https://nba.hupu.com/teams/grizzlies,2024-25
42,特雷-墨菲,鹈鹕,6.4,1.4,5.0,24.0,https://nba.hupu.com/players/treymurphy-152586.html,https://nba.hupu.com/teams/pelicans,2024-25
44,戴森-丹尼尔斯,老鹰,6.3,2.2,4.2,26.0,https://nba.hupu.com/players/dysondaniels-152879.html,https://nba.hupu.com/teams/hawks,2024-25
44,德里克-奎因,鹈鹕,6.3,1.7,4.7,26.0,https://nba.hupu.com/players/derikqueen-153278.html,https://nba.hupu.com/teams/pelicans,2024-25
44,库珀-弗拉格,独行侠,6.3,1.2,5.1,25.0,https://nba.hupu.com/players/cooperflagg-153280.html,https://nba.hupu.com/teams/mavericks,2024-25
44,凯尔·菲利波夫斯基,爵士,6.3,1.7,4.6,23.0,https://nba.hupu.com/players/kylefilipowski-153163.html,https://nba.hupu.com/teams/jazz,2024-25
48,迈尔斯-布里奇斯,黄蜂,6.2,1.0,5.2,25.0,https://nba.hupu.com/players/milesbridges-150440.html,https://nba.hupu.com/teams/hornets,2024-25
49,凯德-坎宁安,活塞,6.1,1.4,4.7,22.0,https://nba.hupu.com/players/cadecunningham-152593.html,https://nba.hupu.com/teams/pistons,2024-25
49,德雷蒙德-格林,勇士,6.1,0.8,5.3,20.0,https://nba.hupu.com/players/draymondgreen-3672.html,https://nba.hupu.com/teams/warriors,2024-25
